Orig Index	Word	Start Word Index	End Word Index	POS Label	Spacy POS Label	Final POS Label	NER Label	Spacy NER Label	Tweet	Candidate Label	PROPOSED NER Label	LW NER Label	Alec NER Label	Akshat NER Label	LW Additional Notes
2	@user444	17	17	['PROPN']	['X']	['X']	['O']	[]	mikel obi & his girl olga diyachenko spend holiday in spain with their kids … url1219 via @user444	mikel obi & his girl olga diyachenko spend holiday in spain with their kids … url1219 via <[@user444]>	B-PER	B-ORG	B-PER		
651	@user1790	14	14	['PROPN']	['NOUN']	['NOUN']	['O']	[]	win tix to see @user812 at @user1335 on 8/12 . tune in today on @user1790 at 6 p pt to win url632 url1238	win tix to see @user812 at @user1335 on 8/12 . tune in today on <[@user1790]> at 6 p pt to win url632 url1238	B-PER	B-ORG	B-PER		
298	@user2652	17	17	['PROPN']	['X']	['X']	['O']	[]	rt @user411 laughing matter = me being serious . just watch . be encouraged !! url172 via @user2652	rt @user411 laughing matter = me being serious . just watch . be encouraged !! url172 via <[@user2652]>	B-PER	B-ORG	B-PER		
650	@user1335	6	6	['PROPN']	['NOUN']	['NOUN']	['O']	[]	win tix to see @user812 at @user1335 on 8/12 . tune in today on @user1790 at 6 p pt to win url632 url1238	win tix to see @user812 at <[@user1335]> on 8/12 . tune in today on @user1790 at 6 p pt to win url632 url1238	B-PER	B-ORG	B-PER		
321	@user381	12	12	['PROPN']	['NOUN']	['NOUN']	['O']	[]	rt @user1079 : always have your stuff when you need it with @user381 . 2gb account is free ! url148	rt @user1079 : always have your stuff when you need it with <[@user381]> . 2gb account is free ! url148	B-PER	B-MISC	B-PER		
344	@user1295	9	9	['PROPN']	['NOUN']	['NOUN']	['O']	[]	rain rain go away <-- our song is on @user1295 i kid you not 107.5	rain rain go away <-- our song is on <[@user1295]> i kid you not 107.5	B-PER	B-ORG	B-PER		
649	@user812	4	4	['PROPN']	['PROPN']	['PROPN']	['O']	[]	win tix to see @user812 at @user1335 on 8/12 . tune in today on @user1790 at 6 p pt to win url632 url1238	win tix to see <[@user812]> at @user1335 on 8/12 . tune in today on @user1790 at 6 p pt to win url632 url1238	B-PER	B-MISC	B-PER		
637	@user1409	14	14	['PROPN']	['NOUN']	['NOUN']	['O']	[]	rt @user2076 : . i apologise for this , but i hope every pro-eu @user1409 member reads it . it 's so important . url1620	rt @user2076 : . i apologise for this , but i hope every pro-eu <[@user1409]> member reads it . it 's so important . url1620	B-PER	B-ORG	B-PER		
635	@user136	5	5	['PROPN']	['PROPN']	['PROPN']	['O']	[]	register now for the junior @user136 u8/10/12/14/16/19 - easter 2017 - just £ 290 pp	register now for the junior <[@user136]> u8/10/12/14/16/19 - easter 2017 - just £ 290 pp	B-PER	B-MISC	B-PER		
353	@user2350	11	11	['PROPN']	['X']	['X']	['O']	[]	the onion weighs in on the wisconsin senate race url99 via @user2350	the onion weighs in on the wisconsin senate race url99 via <[@user2350]>	B-PER	B-ORG	B-PER		
619	@user1905	9	9	['PROPN']	['NOUN']	['NOUN']	['O']	[]	rt @user1111 : tweet or rt using #rednose4kids and @user1905 will donate $ 10 to end child poverty . #rednoseday url1607 …	rt @user1111 : tweet or rt using #rednose4kids and <[@user1905]> will donate $ 10 to end child poverty . #rednoseday url1607 …	B-PER	B-ORG	B-PER		
614	@user2582	9	9	['PROPN']	['NOUN']	['NOUN']	['O']	[]	i just earned the ' newbie ' badge on @user2582 ! url716	i just earned the ' newbie ' badge on <[@user2582]> ! url716	B-PER	B-MISC	B-PER		
589	@user2630	14	14	['PROPN']	['X']	['X']	['O']	[]	want a chance to win some prizes from @user1440 ? just head over to @user2630 and enter ! url856	want a chance to win some prizes from @user1440 ? just head over to <[@user2630]> and enter ! url856	B-PER	B-ORG	B-PER		
366	@user2138	10	10	['PROPN']	['X']	['X']	['O']	[]	check out kylie minogue north american tour 2011 url101 via @user2138	check out kylie minogue north american tour 2011 url101 via <[@user2138]>	B-PER	B-ORG	B-PER		
368	@user2615	8	8	['PROPN']	['X']	['X']	['O']	[]	url43 making it easy to put up a @user2615 , @user2070 in the cloud #aws	url43 making it easy to put up a <[@user2615]> , @user2070 in the cloud #aws	B-PER	B-MISC	B-PER		put what in the cloud?
660	@user1412	8	8	['PROPN']	['NUM']	['NUM']	['O']	[]	rt @user468 : 71 years ago today , @user1412 #marines began the battle for iwo jima . url308	rt @user468 : 71 years ago today , <[@user1412]> #marines began the battle for iwo jima . url308	B-PER	B-ORG	B-PER		
369	@user2070	10	10	['PROPN']	['X']	['X']	['O']	[]	url43 making it easy to put up a @user2615 , @user2070 in the cloud #aws	url43 making it easy to put up a @user2615 , <[@user2070]> in the cloud #aws	B-PER	B-MISC	B-PER		put what in the cloud?
588	@user1440	8	8	['PROPN']	['X']	['X']	['O']	[]	want a chance to win some prizes from @user1440 ? just head over to @user2630 and enter ! url856	want a chance to win some prizes from <[@user1440]> ? just head over to @user2630 and enter ! url856	B-PER	B-MISC	B-PER		
573	@user2227	13	13	['PROPN']	['PROPN']	['PROPN']	['O']	[]	i saw this early & thought it was pretty fun to watch ! @user2227 was great ! are you going to see it ? 🎬🎥 url370	i saw this early & thought it was pretty fun to watch ! <[@user2227]> was great ! are you going to see it ? 🎬🎥 url370	B-PER	B-MISC	B-PER		
382	@user2342	17	17	['PROPN']	['X']	['X']	['O']	[]	“ @user1305 : i just voted for ian somerhalder #tvdramaactor #peopleschoice . retweet to vote url130 via @user2342 ”	“ @user1305 : i just voted for ian somerhalder #tvdramaactor #peopleschoice . retweet to vote url130 via <[@user2342]> ”	B-PER	B-ORG	B-PER		
568	@user121	21	21	['PROPN']	['X']	['X']	['O']	[]	istanbul airport attack : 23 turks , at least 10 foreign nationals killed , officials say , as ... url880 via @user121	istanbul airport attack : 23 turks , at least 10 foreign nationals killed , officials say , as ... url880 via <[@user121]>	B-PER	B-ORG	B-PER		
542	@user913	18	18	['PROPN']	['X']	['X']	['O']	[]	rt @user637 : underground clinics in turkey treating syria 's wounded jihadist terrorists to fight on url539 via @user913 …	rt @user637 : underground clinics in turkey treating syria 's wounded jihadist terrorists to fight on url539 via <[@user913]> …	B-PER	B-ORG	B-PER		
525	@user986	4	4	['PROPN']	['PROPN']	['PROPN']	['O']	[]	new lara vapnyer in @user986 this week ! :d this will be my special treat after i am finished teaching for the day . hearts	new lara vapnyer in <[@user986]> this week ! :d this will be my special treat after i am finished teaching for the day . hearts	B-PER	B-LOC	B-PER		
395	@user963	1	1	['PROPN']	['X']	['X']	['O']	[]	the @user963 draft is thursday makes me want to play @user388 anyone want to get down ?? #youdontwantitwithme !	the <[@user963]> draft is thursday makes me want to play @user388 anyone want to get down ?? #youdontwantitwithme !	B-PER	B-ORG	B-PER		
397	@user388	10	10	['PROPN']	['PROPN']	['PROPN']	['O']	[]	the @user963 draft is thursday makes me want to play @user388 anyone want to get down ?? #youdontwantitwithme !	the @user963 draft is thursday makes me want to play <[@user388]> anyone want to get down ?? #youdontwantitwithme !	B-PER	B-MISC	B-PER		
513	@user1059	19	19	['PROPN']	['NOUN']	['NOUN']	['O']	[]	rt @user576 : whoo ! on march 16th i 'll be having a charity stream on twitch to benefit @user1059 !! mark your calendars ! url221 …	rt @user576 : whoo ! on march 16th i 'll be having a charity stream on twitch to benefit <[@user1059]> !! mark your calendars ! url221 …	B-PER	B-ORG	B-PER		
509	uk	5	5	['PROPN']	['PROPN']	['PROPN']	['O']	['PERSON']	i totally agree ban islam uk url512	i totally agree ban islam <[uk]> url512	B-PER	B-LOC	B-MISC	B-LOC	
403	@user1934	3	3	['PROPN']	['X']	['X']	['O']	[]	retweeted globalpublishing ( @user1934 ) : atmosphere permits light and heat to reach earth at levels ... url534	retweeted globalpublishing ( <[@user1934]> ) : atmosphere permits light and heat to reach earth at levels ... url534	B-PER	B-ORG	B-PER		
498	@user1885	15	15	['PROPN']	['X']	['X']	['O']	[]	@user1622 @user218 will you please help pass the message about my aunties dying wish on @user1885 it would mean so much to me and her 💖	@user1622 @user218 will you please help pass the message about my aunties dying wish on <[@user1885]> it would mean so much to me and her 💖	B-PER	B-ORG	B-PER		
494	@user2155	6	6	['PROPN']	['X']	['X']	['O']	[]	rt @user2154 : " the #studentexperience @user2155 has made me who i am today " #uniexperience video : url805 url220 …	rt @user2154 : " the #studentexperience <[@user2155]> has made me who i am today " #uniexperience video : url805 url220 …	B-PER	B-ORG	B-PER		prob talking about a school
467	@user450	17	17	['PROPN']	['PROPN']	['PROPN']	['O']	[]	rt @user1724 : who are the biggest girl band on the planet right now ? #littlemix or @user450	rt @user1724 : who are the biggest girl band on the planet right now ? #littlemix or <[@user450]>	B-PER	B-ORG	B-PER		
372	@user375	1	1	['PROPN']	['PROPN']	['PROPN']	['O']	[]	if @user375 do nt make some hoodies soon ... imma beat em !	if <[@user375]> do nt make some hoodies soon ... imma beat em !	B-PER	B-MISC	B-PER		could be org/per/etc.
456	@user2066	9	9	['PROPN']	['NOUN']	['NOUN']	['O']	[]	oh yeah ! spanked em ! way to go @user2066 #nascar 🏁 #ford	oh yeah ! spanked em ! way to go <[@user2066]> #nascar 🏁 #ford	B-PER	B-ORG	B-PER		
664	@user1617	7	7	['PROPN']	['X']	['X']	['O']	[]	success in duckland last night for the @user1617 first eatwith dinner ! thanks to everyone … url290	success in duckland last night for the <[@user1617]> first eatwith dinner ! thanks to everyone … url290	B-PER	B-ORG	B-PER		
689	@user1287	7	7	['PROPN']	['X']	['X']	['O']	[]	rt @user405 : @user985 @user142 also on @user1287 #cantbeintwoplacesatonce #poororganisation url1220	rt @user405 : @user985 @user142 also on <[@user1287]> #cantbeintwoplacesatonce #poororganisation url1220	B-PER	B-ORG	B-PER		
3	@user1598	1	1	['PROPN']	['PROPN']	['PROPN']	['O']	[]	@user1598 : super junior ’s siwon transforms into ‘ captain choi ’ for “ poseidon ” url139	<[@user1598]> : super junior ’s siwon transforms into ‘ captain choi ’ for “ poseidon ” url139	B-PER	B-ORG	B-PER		
908	@user605	14	14	['PROPN']	['X']	['X']	['O']	[]	rt @user1796 : today be your best ! #mondaymotivation @user1083 @user2417 @user1974 @user791 @user2146 @user605 url221 …	rt @user1796 : today be your best ! #mondaymotivation @user1083 @user2417 @user1974 @user791 @user2146 <[@user605]> url221 …	B-PER	B-ORG	B-PER		
902	@user1925	23	23	['PROPN']	['X']	['X']	['O']	[]	rt @user1410 : what do these kenyan girls do when they do n't have transportation to school ? they bike . url487 via @user1925 …	rt @user1410 : what do these kenyan girls do when they do n't have transportation to school ? they bike . url487 via <[@user1925]> …	B-PER	B-ORG	B-PER		
900	@user2523	11	11	['PROPN']	['X']	['X']	['O']	[]	rt @user2523 : #csgogiveaway stattrak karambit rt + like + follow @user2523 + @user250 enter here : url863 url219 …	rt @user2523 : #csgogiveaway stattrak karambit rt + like + follow <[@user2523]> + @user250 enter here : url863 url219 …	B-PER	B-PER	O		
887	@user268	5	5	['PROPN']	['PROPN']	['PROPN']	['O']	[]	rt @user978 : #nvthots vs. @user268 in the semifinals ! battle of the na powerhouses . watch : url1106 #ourfight url221 …	rt @user978 : #nvthots vs. <[@user268]> in the semifinals ! battle of the na powerhouses . watch : url1106 #ourfight url221 …	B-PER	B-ORG	B-PER		could be person
885	@user1459	17	17	['PROPN']	['X']	['X']	['O']	[]	#np' calabar girl friend , by @user1894 , inside #satideparipa with @user385 , @user1229 & @user2084 on @user1459 .	#np' calabar girl friend , by @user1894 , inside #satideparipa with @user385 , @user1229 & @user2084 on <[@user1459]> .	B-PER	B-ORG	B-PER		
866	@user1357	15	15	['PROPN']	['PROPN']	['PROPN']	['O']	[]	rt @user743 : @user184 thanks for front page news saturday in @user1390 & coverage in @user1357 too . all our kids ! #autism …	rt @user743 : @user184 thanks for front page news saturday in @user1390 & coverage in <[@user1357]> too . all our kids ! #autism …	B-PER	B-ORG	B-PER		news brand
865	@user1390	11	11	['PROPN']	['PROPN']	['PROPN']	['O']	[]	rt @user743 : @user184 thanks for front page news saturday in @user1390 & coverage in @user1357 too . all our kids ! #autism …	rt @user743 : @user184 thanks for front page news saturday in <[@user1390]> & coverage in @user1357 too . all our kids ! #autism …	B-PER	B-ORG	B-PER		news brand
862	@user1054	21	21	['PROPN']	['NUM']	['NUM']	['O']	[]	rt @user1084 : #philly june 23 - 25 come see @user418 and i on our feature dance debut together only at @user1054 url390 …	rt @user1084 : #philly june 23 - 25 come see @user418 and i on our feature dance debut together only at <[@user1054]> url390 …	B-PER	B-ORG	B-PER		
861	@user418	10	10	['PROPN']	['PROPN']	['PROPN']	['O']	[]	rt @user1084 : #philly june 23 - 25 come see @user418 and i on our feature dance debut together only at @user1054 url390 …	rt @user1084 : #philly june 23 - 25 come see <[@user418]> and i on our feature dance debut together only at @user1054 url390 …	B-PER	B-MISC	B-PER		
113	@user497	2	2	['PROPN']	['X']	['X']	['O']	[]	@user1034 follow @user497 & win ca$h playing your favorite video games ! #gamersaloon	@user1034 follow <[@user497]> & win ca$h playing your favorite video games ! #gamersaloon	B-PER	B-ORG	B-PER		
130	@user398	12	12	['PROPN']	['X']	['X']	['O']	[]	@user1309 in bham i & teamel_al will be in full effect 4 @user398 10/30/10 !	@user1309 in bham i & teamel_al will be in full effect 4 <[@user398]> 10/30/10 !	B-PER	B-MISC	B-PER		event
859	@user2581	5	5	['PROPN']	['NOUN']	['NOUN']	['O']	[]	i 'm using whatsapp+ by @user2581 for ios to add new features to whatsapp ! url734	i 'm using whatsapp+ by <[@user2581]> for ios to add new features to whatsapp ! url734	B-PER	B-ORG	B-PER		
827	@user768	18	18	['PROPN']	['X']	['X']	['O']	[]	screen time advice for a new generation of ' digital ' parents by livingstone_s & @user72 url771 via @user768	screen time advice for a new generation of ' digital ' parents by livingstone_s & @user72 url771 via <[@user768]>	B-PER	B-ORG	B-PER		
668	@user1458	11	11	['PROPN']	['X']	['X']	['O']	[]	staples now selling recycle - by - mail boxes url922 via @user1458 url1524	staples now selling recycle - by - mail boxes url922 via <[@user1458]> url1524	B-PER	B-ORG	B-PER		
817	@user477	4	4	['PROPN']	['X']	['X']	['O']	[]	listening now @user1603 437 @user477 yesterday episode !! gooooo !!! #trancefamily #fsoe437	listening now @user1603 437 <[@user477]> yesterday episode !! gooooo !!! #trancefamily #fsoe437	B-PER	B-MISC	B-PER		based on context, person first show later
802	@user118	10	10	['PROPN']	['PROPN']	['PROPN']	['O']	[]	rt @user177 : look forward to catching up at the @user118 show . our team can take you through all aspects of b2b marketing fr …	rt @user177 : look forward to catching up at the <[@user118]> show . our team can take you through all aspects of b2b marketing fr …	B-PER	B-MISC	B-PER		
790	@user956	21	21	['PROPN']	['X']	['X']	['O']	[]	rt @user2370 : please , @user998 , bring pokemon go to brazil : url503 #pokemongonobrasilhoje ( rt pra carta chegar na @user956 …	rt @user2370 : please , @user998 , bring pokemon go to brazil : url503 #pokemongonobrasilhoje ( rt pra carta chegar na <[@user956]> …	B-PER	B-ORG	B-PER		same, but translated
789	@user998	5	5	['PROPN']	['X']	['X']	['O']	[]	rt @user2370 : please , @user998 , bring pokemon go to brazil : url503 #pokemongonobrasilhoje ( rt pra carta chegar na @user956 …	rt @user2370 : please , <[@user998]> , bring pokemon go to brazil : url503 #pokemongonobrasilhoje ( rt pra carta chegar na @user956 …	B-PER	B-ORG	B-PER		
775	@user296	13	13	['PROPN']	['X']	['X']	['O']	[]	check out review of the fitwood m - roll foam roller url1457 via @user296	check out review of the fitwood m - roll foam roller url1457 via <[@user296]>	B-PER	B-ORG	B-PER		
255	@user2652	13	13	['PROPN']	['X']	['X']	['O']	[]	check this video out -- polaroid polarized sunglasses ( thailand ) url154 via @user2652	check this video out -- polaroid polarized sunglasses ( thailand ) url154 via <[@user2652]>	B-PER	B-ORG	B-PER		
256	@user2652	17	17	['PROPN']	['X']	['X']	['O']	[]	check this video out -- travie mccoy : billionaire ft. bruno mars ( audio ) url120 via @user2652	check this video out -- travie mccoy : billionaire ft. bruno mars ( audio ) url120 via <[@user2652]>	B-PER	B-ORG	B-PER		
259	@user1035	19	19	['PROPN']	['X']	['X']	['O']	[]	david mitchell 's immersive reading room , the " ultimate environment " to enjoy thousand autumns : url75 /via @user1035	david mitchell 's immersive reading room , the " ultimate environment " to enjoy thousand autumns : url75 /via <[@user1035]>	B-PER	B-ORG	B-PER		
772	@user1739	6	6	['PROPN']	['X']	['X']	['O']	[]	i liked a @user1490 video from @user1739 url1400 molten aluminum vs bullets	i liked a @user1490 video from <[@user1739]> url1400 molten aluminum vs bullets	B-PER	B-ORG	B-PER		
756	@user2050	7	7	['PROPN']	['NOUN']	['NOUN']	['O']	[]	rt @user24 : i want to win @user2050 dm pack url1445	rt @user24 : i want to win <[@user2050]> dm pack url1445	B-PER	B-MISC	B-PER		product
720	@user759	0	0	['PROPN']	['X']	['X']	['O']	[]	@user759 @user2188 @user2003 @user694 @user1670 shhh , do n't tell her !	<[@user759]> @user2188 @user2003 @user694 @user1670 shhh , do n't tell her !	B-PER	B-PER	O		
275	@user1490	3	3	['PROPN']	['X']	['X']	['O']	[]	i uploaded a @user1490 video url116 paris.flv	i uploaded a <[@user1490]> video url116 paris.flv	B-PER	B-ORG	B-PER		
714	@user1490	11	11	['PROPN']	['X']	['X']	['O']	[]	diggy - 4 letter word [ official video ] url440 via @user1490	diggy - 4 letter word [ official video ] url440 via <[@user1490]>	B-PER	B-ORG	B-PER		
698	@user1490	18	18	['PROPN']	['X']	['X']	['O']	[]	gigi hadid and zayn malik feature in us vogue magazine for couple 's first photoshoot : url1123 via @user1490	gigi hadid and zayn malik feature in us vogue magazine for couple 's first photoshoot : url1123 via <[@user1490]>	B-PER	B-ORG	B-PER		
692	@user1116	15	15	['PROPN']	['X']	['X']	['O']	[]	rt @user1116 : #win ( 20 m2 ) 5 m x 4 m #minioncarpet from @user1116 #rt & #follow #competition #giveaway url843 ht …	rt @user1116 : #win ( 20 m2 ) 5 m x 4 m #minioncarpet from <[@user1116]> #rt & #follow #competition #giveaway url843 ht …	B-PER	B-ORG	B-PER		
804	@user2361	20	20	['PROPN']	['X']	['X']	['O']	[]	#bbcdp ukip ’s only councillor in wales resigns in epic letter slamming farage ’s “ political cronyism ” url794 via @user2361	#bbcdp ukip ’s only councillor in wales resigns in epic letter slamming farage ’s “ political cronyism ” url794 via <[@user2361]>	B-PER	B-ORG	B-PER		
449	@user1923	0	0	['PROPN']	['PROPN']	['PROPN']	['O']	[]	@user1923 did n't eat enough did i 🙄	<[@user1923]> did n't eat enough did i 🙄	B-PER	B-PER			
919	#cheo’s	5	5	['PROPN']	['PROPN', 'PART']	['PROPN', 'PART']	['O']	['ORG']	#volunteers are key members of #cheo’s one team – helping kids and families be their healthiest #nvw2016 url1387	#volunteers are key members of <[#cheo’s]> one team – helping kids and families be their healthiest #nvw2016 url1387	B-ORG	B-ORG	B-PER	B-ORG	
358	#jeopardy	2	2	['PROPN']	['PROPN']	['PROPN']	['O']	['ORG']	weird , #jeopardy is alluding to the charlie the unicorn video in their clue titles ! shun the non-believer !	weird , <[#jeopardy]> is alluding to the charlie the unicorn video in their clue titles ! shun the non-believer !	B-ORG	B-MISC	B-ORG	B-MISC	
406	#24audiolaunch	9	9	['PROPN']	['PROPN']	['PROPN']	['O']	['FAC']	rt @user2020 : to all suriya fans coming to #24audiolaunch on monday - no photos or videos allowed inside the venue .	rt @user2020 : to all suriya fans coming to <[#24audiolaunch]> on monday - no photos or videos allowed inside the venue .	B-LOC	B-MISC	B-LOC	B-MISC	
289	dr	17	17	['PROPN']	['PROPN']	['PROPN']	['O']	[]	motorola droid oem window mount – only for the first generation motorola droid : product descriptionthe motorola dr ... url32	motorola droid oem window mount – only for the first generation motorola droid : product descriptionthe motorola <[dr]> ... url32	B-MISC	B-MISC	O	O	product brand
847	#t20worldcup	16	16	['PROPN']	['PROPN']	['PROPN']	['O']	['EVENT']	rt @user1688 : we will back the men in blue till the very end for the #t20worldcup ! show your support in the comments below . url224 …	rt @user1688 : we will back the men in blue till the very end for the <[#t20worldcup]> ! show your support in the comments below . url224 …	B-MISC	B-MISC	B-ORG	B-MISC	
252	suv	14	14	['PROPN']	['PROPN']	['PROPN']	['O']	[]	calgary 1980 pontiac trans am t tops $ 4,900.00 over 175 cars trucks and suv 's 90 day warrenty ... url175	calgary 1980 pontiac trans am t tops $ 4,900.00 over 175 cars trucks and <[suv]> 's 90 day warrenty ... url175	B-MISC	O	B-MISC	O	
359	pimpin	1	1	['PROPN']	['PROPN']	['PROPN']	['O']	[]	whaddup pimpin ken . ha !	whaddup <[pimpin]> ken . ha !	B-MISC	O	B-MISC	O	
616	#genstemgirls	9	9	['PROPN']	['PROPN']	['PROPN']	['O']	[]	rt @user1914 : . @user888 is looking for some #genstemgirls to help make the world a better place . sounds like a job for girl scouts ! url218 …	rt @user1914 : . @user888 is looking for some <[#genstemgirls]> to help make the world a better place . sounds like a job for girl scouts ! url218 …	B-MISC	O	B-MISC	O	
617	cns	16	16	['PROPN']	['PROPN']	['PROPN']	['O']	[]	top catholic news * women leaders share their stories at vatican event : vatican city ( cns ) -- in the heart ... url542	top catholic news * women leaders share their stories at vatican event : vatican city ( <[cns]> ) -- in the heart ... url542	B-MISC	B-LOC	B-MISC	B-ORG	??? LW: Catholic News Service
842	woodseaves	6	6	['PROPN']	['PROPN']	['PROPN']	['O']	['PRODUCT']	offer : laptop case new ( woodseaves ) url786	offer : laptop case new ( <[woodseaves]> ) url786	B-MISC	B-LOC	B-MISC	B-LOC	??? LW: Woodseaves, England
145	jesus	2	2	['PROPN']	['PROPN']	['PROPN']	['O']	[]	@user1475 @user732 jesus are you two still at it ? lolx	@user1475 @user732 <[jesus]> are you two still at it ? lolx	B-MISC	O	B-MISC	O	
352	ex	5	5	['PROPN']	['PROPN']	['PROPN']	['O']	[]	the modern vacation : with ex ’s and new partners url150	the modern vacation : with <[ex]> ’s and new partners url150	B-MISC	O	B-MISC	O	
200	tims	5	5	['PROPN']	['PROPN']	['PROPN']	['O']	[]	@user2252 can we go to tims please and tonkkss	@user2252 can we go to <[tims]> please and tonkkss	B-MISC	B-ORG	B-MISC	B-ORG	restuarant location
815	beijos	22	22	['PROPN']	['PROPN']	['PROPN']	['O']	[]	rt @user1460 : adeus brasil !!! thanks to all the many wonderful people i met and made me feel at home !!! beijos !! 🇧🇷🇧🇷🇧🇷🇧🇷🇧🇷	rt @user1460 : adeus brasil !!! thanks to all the many wonderful people i met and made me feel at home !!! <[beijos]> !! 🇧🇷🇧🇷🇧🇷🇧🇷🇧🇷	B-MISC	O	B-MISC	O	
806	#demsinphilly	11	11	['PROPN']	['PROPN']	['PROPN']	['O']	[]	rt @user2566 : the dnc is now collection #berniesanders signs inside #demsinphilly trying to silence protesters #dncleak #dncinphl url218 …	rt @user2566 : the dnc is now collection #berniesanders signs inside <[#demsinphilly]> trying to silence protesters #dncleak #dncinphl url218 …	B-MISC	O	B-LOC	O	
225	#virgin	2	2	['PROPN']	['PROPN']	['PROPN']	['O']	[]	@user2502 glad #virgin is keeping you happy !	@user2502 glad <[#virgin]> is keeping you happy !	B-MISC	B-ORG	B-MISC	B-ORG	
294	loblaws	1	1	['PROPN']	['PROPN']	['PROPN']	['O']	[]	oh loblaws you kill me , 4 - 8	oh <[loblaws]> you kill me , 4 - 8	B-MISC	O	B-MISC	O	
