	Sentence Index	Word	Start Word Index	End Word Index	POS Label	NER Label	Tweet	Tweet POS Labels	Tweet NER Labels	PROPOSED NER Label	FINAL NER Label
0	40	poutine	11	11	['PROPN']	['O']	rt @user1787 : i asked siri to remind me about my poutine in the office fridge but she misinterpreted and probably alerted the fbi . url222 …	['X', 'X', 'PUNCT', 'PRON', 'VERB', 'PROPN', 'PART', 'VERB', 'PRON', 'ADP', 'PRON', 'PROPN', 'ADP', 'DET', 'NOUN', 'NOUN', 'CCONJ', 'PRON', 'VERB', 'CCONJ', 'ADV', 'VERB', 'DET', 'PROPN', 'PUNCT', 'X', 'PUNCT']	['O', 'O', 'O', 'O', 'O', 'B-PER', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-ORG', 'O', 'O', 'O']	O	O
4	49	gospel	7	7	['PROPN']	['O']	""" do n't move on from the gospel , move into the gospel ! "" todd friel"	['PUNCT', 'AUX', 'PART', 'VERB', 'ADP', 'ADP', 'DET', 'PROPN', 'PUNCT', 'VERB', 'ADP', 'DET', 'PROPN', 'PUNCT', 'PUNCT', 'PROPN', 'PROPN']	['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-PER', 'I-PER']	O	O
5	49	gospel	12	12	['PROPN']	['O']	""" do n't move on from the gospel , move into the gospel ! "" todd friel"	['PUNCT', 'AUX', 'PART', 'VERB', 'ADP', 'ADP', 'DET', 'PROPN', 'PUNCT', 'VERB', 'ADP', 'DET', 'PROPN', 'PUNCT', 'PUNCT', 'PROPN', 'PROPN']	['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-PER', 'I-PER']	O	O
6	53	model	15	15	['PROPN']	['O']	#follow us & #checkout the multi - talented spanglish / techno / pop singer / model @user779 aka lady boom boom url107	['VERB', 'PRON', 'CCONJ', 'VERB', 'DET', 'ADJ', 'PUNCT', 'ADJ', 'NOUN', 'PUNCT', 'NOUN', 'PUNCT', 'NOUN', 'NOUN', 'PUNCT', 'PROPN', 'PROPN', 'ADP', 'PROPN', 'PROPN', 'PROPN', 'X']	['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-MISC', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-PER', 'I-PER', 'I-PER', 'O']	O	O
8	54	#fridaynightlights	0	0	['PROPN']	['O']	#fridaynightlights viewing party at stick & stein in el segundo ! who 's with me ??	['PROPN', 'VERB', 'NOUN', 'ADP', 'PROPN', 'CCONJ', 'PROPN', 'ADP', 'PROPN', 'PROPN', 'PUNCT', 'PRON', 'AUX', 'ADP', 'PRON', 'PUNCT']	['O', 'O', 'O', 'O', 'B-ORG', 'I-ORG', 'I-ORG', 'O', 'B-LOC', 'I-LOC', 'O', 'O', 'O', 'O', 'O', 'O']	B-MISC	B-MISC
10	57	#lebronshould	0	0	['PROPN']	['O']	#lebronshould know his only championship is ' slam dunk ' . @user2004	['PROPN', 'VERB', 'PRON', 'ADJ', 'NOUN', 'AUX', 'PUNCT', 'NOUN', 'NOUN', 'PUNCT', 'PUNCT', 'X']	['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']	O	B-PER
11	61	#teamceltics	0	0	['PROPN']	['O']	#teamceltics . lakers we coming for you .	['PROPN', 'PUNCT', 'PROPN', 'PRON', 'VERB', 'ADP', 'PRON', 'PUNCT']	['O', 'O', 'B-ORG', 'O', 'O', 'O', 'O', 'O']	B-ORG	B-ORG
12	66	#jordanheels	0	0	['PROPN']	['O']	#jordanheels are very useful in a fight cause a hoodrat will put a jordan stamp n hole in ur dome lls	['PROPN', 'AUX', 'ADV', 'ADJ', 'ADP', 'DET', 'NOUN', 'VERB', 'DET', 'NOUN', 'AUX', 'VERB', 'DET', 'PROPN', 'NOUN', 'CCONJ', 'NOUN', 'ADP', 'PRON', 'NOUN', 'INTJ']	['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']	B-MISC	B-MISC
13	66	jordan	13	13	['PROPN']	['O']	#jordanheels are very useful in a fight cause a hoodrat will put a jordan stamp n hole in ur dome lls	['PROPN', 'AUX', 'ADV', 'ADJ', 'ADP', 'DET', 'NOUN', 'VERB', 'DET', 'NOUN', 'AUX', 'VERB', 'DET', 'PROPN', 'NOUN', 'CCONJ', 'NOUN', 'ADP', 'PRON', 'NOUN', 'INTJ']	['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']	B-MISC	B-ORG
14	68	dj	1	1	['PROPN']	['O']	#np dj got us - falling in love ag - u$her ft. pitbull	['X', 'PROPN', 'VERB', 'PRON', 'PUNCT', 'VERB', 'ADP', 'NOUN', 'ADV', 'PUNCT', 'PROPN', 'VERB', 'PROPN']	['O', 'O', 'O', 'O', 'O', 'B-MISC', 'I-MISC', 'I-MISC', 'I-MISC', 'O', 'B-PER', 'O', 'B-PER']	B-MISC	O
16	82	d	10	10	['PROPN']	['O']	3-0 !! phew !!! good no td !!! go job d !!! #birdgang	['NUM', 'PUNCT', 'INTJ', 'PUNCT', 'ADJ', 'DET', 'NOUN', 'PUNCT', 'VERB', 'NOUN', 'PROPN', 'PUNCT', 'X']	['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']	O	O
49	113	#etp	5	5	['PROPN']	['O']	@user473 @user948 @user1227 , morning #etp fam	['PROPN', 'PROPN', 'PROPN', 'PUNCT', 'NOUN', 'PROPN', 'NOUN']	['O', 'O', 'O', 'O', 'O', 'O', 'O']	O	B-ORG
84	141	hs	7	7	['PROPN']	['O']	@user716 they tryna close all the black hs 's in charlotte	['PROPN', 'PRON', 'VERB', 'VERB', 'DET', 'DET', 'ADJ', 'PROPN', 'PART', 'ADP', 'PROPN']	['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-LOC']	O	O
130	178	teamel_al	5	5	['PROPN']	['O']	@user1309 in bham i & teamel_al will be in full effect 4 @user398 10/30/10 !	['PROPN', 'ADP', 'PROPN', 'PRON', 'CCONJ', 'PROPN', 'AUX', 'AUX', 'ADP', 'ADJ', 'NOUN', 'ADP', 'PROPN', 'NUM', 'PUNCT']	['O', 'O', 'B-LOC', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']	B-MISC	B-MISC
141	186	title	19	19	['PROPN']	['O']	"@user1448 does n't change anything if it 's a "" best seller . "" ie @user695 and the wwe title . most businesses reinvest their profits into new things"	['PROPN', 'AUX', 'PART', 'VERB', 'PRON', 'SCONJ', 'PRON', 'AUX', 'DET', 'PUNCT', 'ADJ', 'NOUN', 'PUNCT', 'PUNCT', 'X', 'PROPN', 'CCONJ', 'DET', 'PROPN', 'PROPN', 'PUNCT', 'ADJ', 'NOUN', 'VERB', 'PRON', 'NOUN', 'ADP', 'ADJ', 'NOUN']	['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-ORG', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']	O	O
146	189	jesus	2	2	['PROPN']	['O']	@user1475 @user732 jesus are you two still at it ? lolx	['PROPN', 'PROPN', 'PROPN', 'AUX', 'PRON', 'NUM', 'ADV', 'ADP', 'PRON', 'PUNCT', 'INTJ']	['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']	B-MISC	O
201	235	tims	5	5	['PROPN']	['O']	@user2252 can we go to tims please and tonkkss	['PROPN', 'AUX', 'PRON', 'VERB', 'ADP', 'PROPN', 'INTJ', 'CCONJ', 'PROPN']	['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']	B-MISC	B-ORG
203	236	california	9	9	['PROPN']	['O']	@user2256 i miss you too <3 i miss | california | but imma come see you as soon as i come back i #promise	['PROPN', 'PRON', 'VERB', 'PRON', 'ADV', 'SYM', 'PRON', 'VERB', 'SYM', 'PROPN', 'SYM', 'CCONJ', 'VERB', 'VERB', 'VERB', 'PRON', 'ADV', 'ADV', 'SCONJ', 'PRON', 'VERB', 'ADV', 'PRON', 'VERB']	['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']	B-MISC	B-LOC
226	257	#virgin	2	2	['PROPN']	['O']	@user2502 glad #virgin is keeping you happy !	['PROPN', 'ADJ', 'PROPN', 'AUX', 'VERB', 'PRON', 'ADJ', 'PUNCT']	['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']	B-MISC	B-ORG
236	272	flutes	2	2	['PROPN']	['O']	ahh . flutes sound really bad with cheap mics . writing a song now , just need chords and i 'll be good . bye :d	['INTJ', 'PUNCT', 'PROPN', 'VERB', 'ADV', 'ADJ', 'ADP', 'ADJ', 'NOUN', 'PUNCT', 'VERB', 'DET', 'NOUN', 'ADV', 'PUNCT', 'ADV', 'VERB', 'NOUN', 'CCONJ', 'PRON', 'AUX', 'AUX', 'ADJ', 'PUNCT', 'INTJ', 'SYM']	['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']	O	O
238	280	h	14	14	['PROPN']	['O']	any haggis out there ? do n't say that ! what ? the ' h ' word . do n't say it ! all right ... are there any out there though ?	['DET', 'NOUN', 'ADV', 'ADV', 'PUNCT', 'AUX', 'PART', 'VERB', 'PRON', 'PUNCT', 'PRON', 'PUNCT', 'DET', 'PUNCT', 'PROPN', 'PUNCT', 'NOUN', 'PUNCT', 'AUX', 'PART', 'VERB', 'PRON', 'PUNCT', 'DET', 'INTJ', 'PUNCT', 'VERB', 'PRON', 'DET', 'ADV', 'ADV', 'ADV', 'PUNCT']	['O', 'B-MISC', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']	O	O
249	289	bbm	0	0	['PROPN']	['O']	bbm yawn face * man that #napflow felt so refreshing .	['PROPN', 'NOUN', 'NOUN', 'PUNCT', 'NOUN', 'DET', 'PROPN', 'VERB', 'ADV', 'ADJ', 'PUNCT']	['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']	O	O
250	289	#napflow	6	6	['PROPN']	['O']	bbm yawn face * man that #napflow felt so refreshing .	['PROPN', 'NOUN', 'NOUN', 'PUNCT', 'NOUN', 'DET', 'PROPN', 'VERB', 'ADV', 'ADJ', 'PUNCT']	['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']	O	O
253	300	suv	14	14	['PROPN']	['O']	calgary 1980 pontiac trans am t tops $ 4,900.00 over 175 cars trucks and suv 's 90 day warrenty ... url175	['PROPN', 'NUM', 'PROPN', 'PROPN', 'PROPN', 'PROPN', 'VERB', 'SYM', 'NUM', 'ADV', 'NUM', 'NOUN', 'NOUN', 'CCONJ', 'PROPN', 'PART', 'NUM', 'NOUN', 'NOUN', 'PUNCT', 'X']	['B-LOC', 'O', 'B-ORG', 'B-MISC', 'I-MISC', 'I-MISC', 'I-MISC', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']	B-MISC	O
255	304	sunglasses	7	7	['PROPN']	['O']	check this video out -- polaroid polarized sunglasses ( thailand ) url154 via @user2652	['VERB', 'DET', 'NOUN', 'ADP', 'PUNCT', 'PROPN', 'ADJ', 'PROPN', 'PUNCT', 'PROPN', 'PUNCT', 'X', 'ADP', 'PROPN']	['O', 'O', 'O', 'O', 'O', 'B-ORG', 'O', 'O', 'O', 'B-LOC', 'O', 'O', 'O', 'O']	O	O
262	320	masterclass	15	15	['PROPN']	['O']	early bird special : conscious capitalism , new business model for 21st century in online masterclass - url60	['PROPN', 'PROPN', 'PROPN', 'PUNCT', 'ADJ', 'NOUN', 'PUNCT', 'ADJ', 'NOUN', 'NOUN', 'ADP', 'ADJ', 'NOUN', 'ADP', 'ADJ', 'PROPN', 'PUNCT', 'X']	['O', 'O', 'O', 'O', 'O', 'B-MISC', 'O', 'O', 'O', 'O', 'O', 'B-MISC', 'I-MISC', 'O', 'O', 'O', 'O', 'O']	O	O
263	326	d	9	9	['PROPN']	['O']	first serious attack by philadelphia , but the timbers d got the ball out .	['ADJ', 'ADJ', 'NOUN', 'ADP', 'PROPN', 'PUNCT', 'CCONJ', 'DET', 'PROPN', 'PROPN', 'VERB', 'DET', 'NOUN', 'ADV', 'PUNCT']	['O', 'O', 'O', 'O', 'B-ORG', 'O', 'O', 'O', 'B-ORG', 'O', 'O', 'O', 'O', 'O', 'O']	O	O
265	343	#campuschat	9	9	['PROPN']	['O']	got #college admissions questions ? ask them tonight during #campuschat i 'm looking forward to advice from @user1768 url38	['VERB', 'NOUN', 'NOUN', 'NOUN', 'PUNCT', 'VERB', 'PRON', 'NOUN', 'ADP', 'PROPN', 'PRON', 'AUX', 'VERB', 'ADV', 'ADP', 'NOUN', 'ADP', 'PROPN', 'X']	['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']	B-MISC	B-MISC
267	346	#jbspins	3	3	['PROPN']	['O']	great review on #jbspins url77	['ADJ', 'NOUN', 'ADP', 'PROPN', 'X']	['O', 'O', 'O', 'O', 'O']	B-MISC	B-MISC
268	348	uv	5	5	['PROPN']	['O']	haha . my producer said uv vodka is a bad situation waitin to happen , i said #fuuuuuuucccit	['INTJ', 'PUNCT', 'PRON', 'NOUN', 'VERB', 'PROPN', 'NOUN', 'AUX', 'DET', 'ADJ', 'NOUN', 'VERB', 'PART', 'VERB', 'PUNCT', 'PRON', 'VERB', 'VERB']	['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']	B-MISC	B-MISC
272	358	jasmine	3	3	['PROPN']	['O']	hungryyyyy ( @ jasmine 26 ) url6	['ADJ', 'PUNCT', 'ADP', 'PROPN', 'NUM', 'PUNCT', 'X']	['O', 'O', 'O', 'O', 'O', 'O', 'O']	B-MISC	B-PER
273	370	#teamceltics	4	4	['PROPN']	['O']	i bet ! haha #teamceltics yesterday ! clowns ! rt @user167 : #teamheat at philly 2nite , let 's go !	['PRON', 'VERB', 'PUNCT', 'INTJ', 'PROPN', 'NOUN', 'PUNCT', 'NOUN', 'PUNCT', 'X', 'X', 'PUNCT', 'PROPN', 'ADP', 'PROPN', 'NOUN', 'PUNCT', 'VERB', 'PRON', 'VERB', 'PUNCT']	['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-ORG', 'O', 'O', 'O', 'O', 'O', 'O']	B-ORG	B-ORG
274	370	#teamheat	12	12	['PROPN']	['O']	i bet ! haha #teamceltics yesterday ! clowns ! rt @user167 : #teamheat at philly 2nite , let 's go !	['PRON', 'VERB', 'PUNCT', 'INTJ', 'PROPN', 'NOUN', 'PUNCT', 'NOUN', 'PUNCT', 'X', 'X', 'PUNCT', 'PROPN', 'ADP', 'PROPN', 'NOUN', 'PUNCT', 'VERB', 'PRON', 'VERB', 'PUNCT']	['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-ORG', 'O', 'O', 'O', 'O', 'O', 'O']	B-ORG	B-ORG
275	372	#yelp	12	12	['PROPN']	['O']	i checked in at dunkin donuts ( 1 congress st ) on #yelp url28	['PRON', 'VERB', 'ADP', 'ADP', 'PROPN', 'PROPN', 'PUNCT', 'NUM', 'PROPN', 'PROPN', 'PUNCT', 'ADP', 'PROPN', 'X']	['O', 'O', 'O', 'O', 'B-LOC', 'I-LOC', 'O', 'B-LOC', 'I-LOC', 'I-LOC', 'O', 'O', 'O', 'O']	O	B-ORG
278	395	#bet	5	5	['PROPN']	['O']	idk what this movie on #bet is but i 've seen it before and it s hilarious !	['VERB', 'PRON', 'DET', 'NOUN', 'ADP', 'PROPN', 'AUX', 'CCONJ', 'PRON', 'AUX', 'VERB', 'PRON', 'ADV', 'CCONJ', 'PRON', 'AUX', 'ADJ', 'PUNCT']	['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']	B-MISC	B-MISC
280	400	giving	3	3	['PROPN']	['O']	is today thanks giving ? :l	['AUX', 'NOUN', 'X', 'PROPN', 'PUNCT', 'SYM']	['O', 'O', 'O', 'O', 'O', 'O']	O	O
281	401	jihad	1	1	['PROPN']	['O']	islamic jihad militant killed near gaza border url36	['ADJ', 'PROPN', 'NOUN', 'VERB', 'ADP', 'PROPN', 'NOUN', 'X']	['B-MISC', 'O', 'O', 'O', 'O', 'B-LOC', 'O', 'O']	O	O
289	419	#lakers	2	2	['PROPN']	['O']	man da #lakers have a fucking all - star squad fuck wit it !!	['NOUN', 'DET', 'PROPN', 'VERB', 'DET', 'ADJ', 'ADJ', 'PUNCT', 'NOUN', 'NOUN', 'VERB', 'ADP', 'PRON', 'PUNCT']	['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']	B-MISC	B-ORG
290	420	getto	5	5	['PROPN']	['O']	microwaved grilled cheese / the getto grilled cheese sandwhich / they 're made with real cheese #haiku #mooku	['VERB', 'VERB', 'NOUN', 'PUNCT', 'DET', 'PROPN', 'VERB', 'NOUN', 'NOUN', 'PUNCT', 'PRON', 'AUX', 'VERB', 'ADP', 'ADJ', 'NOUN', 'X', 'X']	['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']	O	O
292	422	dr	17	17	['PROPN']	['O']	motorola droid oem window mount – only for the first generation motorola droid : product descriptionthe motorola dr ... url32	['PROPN', 'PROPN', 'PROPN', 'PROPN', 'PROPN', 'PUNCT', 'ADV', 'ADP', 'DET', 'ADJ', 'NOUN', 'PROPN', 'PROPN', 'PUNCT', 'NOUN', 'NOUN', 'PROPN', 'PROPN', 'PUNCT', 'X']	['B-ORG', 'B-MISC', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-ORG', 'B-MISC', 'O', 'O', 'O', 'B-ORG', 'O', 'O', 'O']	B-MISC	O
295	431	gunrunner	6	6	['PROPN']	['O']	"nick adamson 's online audition for gunrunner billy kane 's character "" the rat "" url65"	['PROPN', 'PROPN', 'PART', 'ADJ', 'NOUN', 'ADP', 'PROPN', 'PROPN', 'PROPN', 'PART', 'NOUN', 'PUNCT', 'DET', 'PROPN', 'PUNCT', 'X']	['B-PER', 'I-PER', 'O', 'O', 'O', 'O', 'O', 'B-PER', 'I-PER', 'O', 'O', 'O', 'O', 'O', 'O', 'O']	B-MISC	B-MISC
296	431	rat	13	13	['PROPN']	['O']	"nick adamson 's online audition for gunrunner billy kane 's character "" the rat "" url65"	['PROPN', 'PROPN', 'PART', 'ADJ', 'NOUN', 'ADP', 'PROPN', 'PROPN', 'PROPN', 'PART', 'NOUN', 'PUNCT', 'DET', 'PROPN', 'PUNCT', 'X']	['B-PER', 'I-PER', 'O', 'O', 'O', 'O', 'O', 'B-PER', 'I-PER', 'O', 'O', 'O', 'O', 'O', 'O', 'O']	B-MISC	O
298	441	loblaws	1	1	['PROPN']	['O']	oh loblaws you kill me , 4 - 8	['INTJ', 'PROPN', 'PRON', 'VERB', 'PRON', 'PUNCT', 'NUM', 'SYM', 'NUM']	['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']	B-MISC	O
301	448	psp	0	0	['PROPN']	['O']	psp .... phone ... ohmygoodlord technology why are you so great . it s also an ericsson which means @user1736 will just have to buy it . ;3	['PROPN', 'PUNCT', 'NOUN', 'PUNCT', 'INTJ', 'NOUN', 'ADV', 'AUX', 'PRON', 'ADV', 'ADJ', 'PUNCT', 'PRON', 'AUX', 'ADV', 'DET', 'PROPN', 'PRON', 'VERB', 'PROPN', 'AUX', 'ADV', 'VERB', 'PART', 'VERB', 'PRON', 'PUNCT', 'SYM']	['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-ORG', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']	O	B-MISC
310	473	#libya	4	4	['PROPN']	['O']	rt @user704 : @user1442 #libya breakthru ! we move urgently needed #food ( wheat , flour ) by truck convoy into western libya for 1st time ...	['X', 'X', 'PUNCT', 'PROPN', 'PROPN', 'NOUN', 'PUNCT', 'PRON', 'VERB', 'ADV', 'VERB', 'NOUN', 'PUNCT', 'NOUN', 'PUNCT', 'NOUN', 'PUNCT', 'ADP', 'NOUN', 'NOUN', 'ADP', 'ADJ', 'PROPN', 'ADP', 'ADJ', 'NOUN', 'PUNCT']	['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-LOC', 'I-LOC', 'O', 'O', 'O', 'O']	B-MISC	B-LOC
316	479	#oomf	6	6	['PROPN']	['O']	rt @user846 : “ @user831 : #oomf is a liar , kaylee knows who i m talking about ” a lot of yur followers r liars ! lol	['X', 'X', 'PUNCT', 'PUNCT', 'PROPN', 'PUNCT', 'PROPN', 'AUX', 'DET', 'NOUN', 'PUNCT', 'PROPN', 'VERB', 'PRON', 'PRON', 'AUX', 'VERB', 'ADP', 'PUNCT', 'DET', 'NOUN', 'ADP', 'PRON', 'NOUN', 'AUX', 'NOUN', 'PUNCT', 'INTJ']	['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-PER', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']	B-MISC	B-MISC
320	486	#rtm	14	14	['PROPN']	['O']	rt @user965 : rt @user1310 : @user965 this is my favorite screen shot from #rtm ;) ---> url198	['X', 'X', 'PUNCT', 'X', 'X', 'PUNCT', 'PROPN', 'PRON', 'AUX', 'PRON', 'ADJ', 'NOUN', 'NOUN', 'ADP', 'PROPN', 'SYM', 'SYM', 'X']	['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']	B-MISC	B-MISC
326	491	tonite	8	8	['PROPN']	['O']	rt @user1069 where is punk ass , @user1197 tonite !!! < honestly who cares ?? :-p	['X', 'X', 'ADV', 'AUX', 'ADJ', 'NOUN', 'PUNCT', 'PROPN', 'PROPN', 'PUNCT', 'PUNCT', 'ADV', 'PRON', 'VERB', 'PUNCT', 'SYM']	['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']	O	O
332	512	#jammy	13	13	['PROPN']	['O']	rt @user1655 : . #walesaid dt @user2024 should go downtown ! lol !!.. #jammy --> lmao !! man bianca !!!	['X', 'X', 'PUNCT', 'PUNCT', 'VERB', 'DET', 'PROPN', 'AUX', 'VERB', 'ADV', 'PUNCT', 'INTJ', 'PUNCT', 'PROPN', 'SYM', 'INTJ', 'PUNCT', 'NOUN', 'PROPN', 'PUNCT']	['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-PER', 'O']	O	O
337	522	#hawthornenigga	19	19	['PROPN']	['O']	rt @user1917 : rt @user2129 : #random ii love how this nigga @user1917 kome in with the singing on #hawthornenigga #noelton - ...	['X', 'X', 'PUNCT', 'X', 'X', 'PUNCT', 'X', 'PRON', 'VERB', 'ADV', 'DET', 'NOUN', 'PROPN', 'VERB', 'ADV', 'ADP', 'DET', 'NOUN', 'ADP', 'PROPN', 'PROPN', 'PUNCT', 'PUNCT']	['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']	B-MISC	B-MISC
338	522	#noelton	20	20	['PROPN']	['O']	rt @user1917 : rt @user2129 : #random ii love how this nigga @user1917 kome in with the singing on #hawthornenigga #noelton - ...	['X', 'X', 'PUNCT', 'X', 'X', 'PUNCT', 'X', 'PRON', 'VERB', 'ADV', 'DET', 'NOUN', 'PROPN', 'VERB', 'ADV', 'ADP', 'DET', 'NOUN', 'ADP', 'PROPN', 'PROPN', 'PUNCT', 'PUNCT']	['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']	B-MISC	B-MISC
354	557	id	7	7	['PROPN']	['O']	ruling strikes down part of arizona voter id law - yahoo! news url70	['NOUN', 'VERB', 'ADP', 'NOUN', 'ADP', 'PROPN', 'NOUN', 'PROPN', 'NOUN', 'PUNCT', 'PROPN', 'NOUN', 'X']	['O', 'O', 'O', 'O', 'O', 'B-LOC', 'O', 'O', 'O', 'O', 'B-ORG', 'I-ORG', 'O']	O	O
355	560	live	1	1	['PROPN']	['O']	showoffradio live !!!	['PROPN', 'PROPN', 'PUNCT']	['B-MISC', 'O', 'O']	O	O
361	579	ex	5	5	['PROPN']	['O']	the modern vacation : with ex ’s and new partners url150	['DET', 'ADJ', 'NOUN', 'PUNCT', 'ADP', 'PROPN', 'PART', 'CCONJ', 'ADJ', 'NOUN', 'X']	['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']	B-MISC	O
